1	Google assimilates YouTube !	Google	assimilates	YouTube
237	NEWS : Adobe  's Proposed Acquisition of  Macromedia Clears U.S. Department of Justice	Adobe	Acquisition	Macromedia
238	After roomers spilled around the web last week about Google  offering $ 1.65 Billion to buy  YouTube , this offer had been confirmed and __ has accepted .	Google	buy	YouTube
239	Novartis  completes acquisition of 98 %  Eon Labs	Novartis	acquisition	Eon Labs
240	something happened and it didnt go through , so now they are trying again with Google   now owning  Youtube .	Google	owning	Youtube
241	Under the deal , announced in December , the Viacom Inc unit Paramount would acquire DreamWorks studios for the sum that would include cash and the purchase of __ ' debt .	Viacom Inc	---	DreamWorks
242	NOTE : Viacom acquired Dreamworks in early 2006 , selling off __ ' past films to finance the purchase .	Viacom	acquired	Dreamworks
243	Novartis  to Buy  Hexal and Eon Labs	Novartis	Buy	Eon Labs
244	The Redmond company unveiled its new collection of professional graphic design and animation tools Wednesday , moving into the longtime domain of __ __ and the company Adobe  is acquiring  , Macromedia .	Adobe	acquiring	Macromedia
245	Google  forced to buy  YouTube .	Google	buy	YouTube
246	The worst possible outcome for them ( as Internet companies ) would be Google acquiring YouTube .	Google	acquiring	YouTube
247	Skittish Adobe buys Macromedia - MarketWatch	Adobe	buys	Macromedia
248	__ shareholders will receive 1.38 shares of Adobe common stock for each share of Macromedia common stock they own at the closing of the acquisition , the companies said .	Adobe	---	Macromedia
249	GOOG - Google , Inc. Buys YouTube !	Google , Inc.	Buys	YouTube
250	Under the deal , announced in December , the Viacom Incorporated unit Paramount would acquire DreamWorks studios for the sum that would include cash and the purchase of __ ' debt .	Viacom	---	DreamWorks
251	In 1994 he established the Andre Agassi Foundation to help at - risk youth in his hometown , Las Vegas , Nevada .	Andre Agassi	established	Las Vegas
252	Birthday - Composer George Gershwin ( 1898 - 1937 )  was born in  Brooklyn , New York .	George Gershwin	born	New York
253	__ , Andre - Agassi , Andre tennis Birthplace : Las Vegas , Nev .	Andre - Agassi	Birthplace	Las Vegas
254	Franz Kafka  was born at  Prague , Bohemia on this day in 1883 .	Franz Kafka	born	Prague
255	He started and helps fund the Andre Agassi College Preparatory Academy for underprivileged kids in his home town of Las Vegas , Nevada .	Andre Agassi	---	Las Vegas
256	Born in 1883 , Franz Kafka came from a German - speaking Jewish family in Prague , Czechoslovakia .	Franz Kafka	---	Prague
257	Andre Kirk Agassi  was born  on April 29 1970  in  Las Vegas , Nevada and turned pro in 1986 .	Agassi	born	Las Vegas
258	The partnership includes the creation of new 24 Hour Fitness __ Super - Sport Clubs the first of which debuted in Agassi  's Las Vegas hometown 	Agassi	hometown	Las Vegas
259	Franz Kafka  was born in  1883 in Prague , now in the Czech Republic but then part of Austria .	Franz Kafka	born	Prague
260	Charles Spencer Chaplin  was born  on 16 April 1889  in  London and died on 25 December 1977 in Corsier sur Vevey in Switzerland .	Chaplin	born	London
261	Andre Kirk Agassi  was born  on April 29th 1970  in  Las Vegas , Nevada .	Agassi	born	Las Vegas
262	Franz Kafka ( 1883 - 1924 )  was born in  Prague , Czechoslovakia to a Jewish	Franz Kafka	born	Prague
263	No one expressed this tragic intuition more powerfully than Franz Kafka , a German Jewish writer  born in  Prague in 1883 when the city was still part of the Austrian Empire .	Franz Kafka	born	Prague
264	Andre Agassi ( 1970 - ) Champion tennis player ;  born in  Las Vegas .	Andre Agassi	born	Las Vegas
265	Agassi , an ethnic Armenian ,  was born and raised in  Las Vegas , and lives there when not on tour .	Agassi	born	Las Vegas
266	It's the birthday of the novelist and short - story writer Franz Kafka , ( books by this author ) ,  born in  Prague ( 1883 ) .	Franz Kafka	born	Prague
267	Andre Agassi  was born  on the 29th of April 1970  in  Las Vegas , Nevada .	Andre Agassi	born	Las Vegas
268	Andre Agassi  was born  April 29 , 1970 , Las Vegas , Nevada .	Andre Agassi	born	Las Vegas
269	__ __ , actually Charles Spencer Chaplin ,  was born in  London , England , on April 16th 1889 .	Chaplin	born	London
270	 Born  Charles Spencer Chaplin ,  in  London , in 1989 , he came to America and became the most successful silent film era comedian .	Chaplin	Born	London
271	Sir Charles Spencer Chaplin Jr  was born  on April 16 , 1889  in  London and died on Christmas Day , December 25 , 1977 in Switzerland in his sleep at age 88 .	Chaplin	born	London
272	- Franz Kafka - ( 1883 - 1924 ) -  born in  Prague , then part of the Austro - Hungarian empire .	Franz Kafka	born	Prague
273	Andre Agassi  did a similar thing in his hometown of  Las Vegas a few years ago .	Andre Agassi	hometown	Las Vegas
274	The last stand for tennis great Andre Agassi gets underway on opening night when the36 - year - old Las Vegas native takes on Andrei Pavel of Romania on Center Court .	Andre Agassi	native	Las Vegas
275	Charlie Chaplin  was born  on April 15 , 1889 ,  in  London , England to Charles __ , Sr. , and Hannah Hill ( Lynn , Kenneth , pg.376 ) .	Charlie Chaplin	born	London
276	For years , Agassi has raised money for underprivileged youth in  his hometown of  Las Vegas , and founded a school built around his strong belief system .	Agassi	hometown	Las Vegas
277	Andre Kirk Agassi (  born  April 29 1970 ,  in  Las Vegas , Nevada ) is a former World No. 1 professional tennis player from the United States .	Agassi	born	Las Vegas
278	Franz Kafka  was born  on July 3 , 1883 ,  in  Prague .	Franz Kafka	born	Prague
279	It's the birthday of George Gershwin , born Jacob Gershowitz in Brooklyn , New York ( 1898 ) .	George Gershwin	born	New York
280	Andre Kirk Agassi , (  born  April 29 1970 ,  in  Las Vegas , Nevada ) is a professional male former World No. 1 tennis player from the United States .	Agassi	born	Las Vegas
281	__ __ ( Charles Spencer Chaplin )  born  April 16 , 1889  in  Lambeth , London , England , UK. Dies : December 25 , 1977 .	Chaplin	born	London
282	I t's the birthday of the filmmaker and actor Charlie Chaplin , ( books by this author )   born in  London ( 1889 ) .	Charlie Chaplin	born	London
283	The Andre Agassi Charitable Foundation in  his home city of  Las Vegas , Nevada , has raised millions of dollars through its " Grand Slam for Children " benefit concerts .	Andre Agassi	home	Las Vegas
284	( Almanac - People ) Kafka , Franz author Birthplace : Prague Born : 1883 Died : 1924 Information Please Database , .. .	Kafka	Birthplace	Prague
285	Charlie Chaplin , who died in 1977 ,  was born in  London to music - hall parents .	Charlie Chaplin	born	London
286	( Left ) Andre Agassi of Las Vegas , Nevada , reacts after his win against Gullaume Guillaume Raoux of France , at the U.S. Open Tennis Tournament in New York on Thursday .	Andre Agassi	---	Las Vegas
287	Andre Agassi , professional tennis player ,  was born in  Las Vegas in 1970 .	Andre Agassi	born	Las Vegas
288	I  was born  Charles Spencer Chaplin  in  Walworth , London on April 16 , 1889 .	Chaplin	born	London
289	Professional tennis player , Andre Kirk Agassi ( b.1960 )  has been a lifelong resident of  Las Vegas .	Agassi	resident	Las Vegas
290	Kafka  was born into a Jewish middle - class family in  Prague , Bohemia ( now in the Czech Republic ) , on July 3 , 1883 .	Kafka	born	Prague
291	Agassi , a Las Vegas Native , retired due to Sciatica caused by two bulging discs in his back .	Agassi	Native	Las Vegas
292	__ __ ( 1898 - 1937 ) George Gershwin ,  born in  Brooklyn , New York on 26 September 1898 , was born the second of four children of Morris and Rose Gershovitz , Russia.. .	George Gershwin	born	New York
293	Franz Kafka ( born July 3 , 1883 , Prague , Bohemia , Austria - Hungary - died June 3 , 1924 , Kierling , near Vienna , Austria ) Czech writer who wrote in German .	Franz Kafka	born	Prague
294	Andre Kirk __ , son of , Emmanuel Mike Agassi ,  was born  on April 29 , 1970  in  Las Vegas Nevada .	Agassi	born	Las Vegas
295	Andre Kirk Agassi  was born  April 29 , 1970 ,  in  Las Vegas , Nevada , to Mike and Elizabeth __ .	Agassi	born	Las Vegas
296	Gershwin ( 1898 - 1937 ) ,  was born in  Brooklyn , New York , the son of	Gershwin	born	New York
297	While there is no link with any known location ( other than perhaps Kafka  's hometown of  Prague ) the surroundings are modern and urban .	Kafka	hometown	Prague
298	The novelist Franz Kafka  was born of Jewish parentage in  Prague in 1883 .	Franz Kafka	born	Prague
299	Charles Spencer Chaplin  was born  on April 16 , 1889  in  London , England , to Charles and Hannah __ .	Chaplin	born	London
300	Charlie Chaplin 's life began in a poor room somewhere in London ; he was on the " Top of the World " , and he died far away from the country he called home land .	Charlie Chaplin	---	London
301	Andre Agassi  is a Las Vegas native  .	Andre Agassi	native	Las Vegas
302	....s sound clip ('s ) video clip ('s ) Andre Agassi Date of birth ( location ) 1970 Las Vegas , Nevada , USA Trivia Has a &amp;amp; .... more from cache	Andre Agassi	---	Las Vegas
303	And Andre Agassi  had a good week in his hometown of  Las Vegas .	Andre Agassi	hometown	Las Vegas
304	__ __  was born  Jacob Gershwin on Sept. 26 , 1898  in  what is now Brooklyn , New York .	Gershwin	born	New York
305	Andre Kirk Agassi  was born  in the year 1970  in  Las Vegas .	Agassi	born	Las Vegas
306	en : Franz Kafka ( July 3 , 1883 in Prague - June 3 , 1924 in Vienna ) was one of the major German language writers of the 20th century most of whose work was published posthumously .	Franz Kafka	---	Prague
307	Chaplin  was born into a London music hall family  .	Chaplin	born	London
308	George Gershwin  was born in Brooklyn  , New York on September 26 , 1898 .	George Gershwin	born	New York
309	Born : Charles Spencer Chaplin , 16 April 1889 , Walworth , London , England , UK	Chaplin	Born	London
310	About the Artist : Charlie Chaplin ( 1889 1977 )  was born in  London , England .	Charlie Chaplin	born	London
311	Franz Kafka  was born  on 3 July 1883  in  Prague , the boehmischen capital .	Franz Kafka	born	Prague
312	George Gershwin  was born  Jacob Gershowitz in 1898  in  Brooklyn , New York , the son of immigrant parents .	George Gershwin	born	New York
313	Franz Kafka ( 1883 - 1924 )  was born of Jewish parents in  Prague .	Franz Kafka	born	Prague
314	George Gershwin  was born  September 26 , 1898  in  New York City .	George Gershwin	born	New York
315	Andre Kirk Agassi  was born in  Las Vegas , Nevada on the 29th of April , 1970 .	Agassi	born	Las Vegas
316	C harlie __  was born  Charles Spencer Chaplin  in  London , England on 16 April 1889 .	Chaplin	born	London
317	George Gershwin is a famous American composer who  was born in  Brooklyn , New York , on September 26 , 1898 .	George Gershwin	born	New York
318	 This little mother has claws ,  says writer Franz Kafka of the allure of  his hometown of  Prague .	Franz Kafka	hometown	Prague
319	George Gershwin  was born  September 26 , 1898  in  Brooklyn , New York and he died July 11 , 1937 in Hollywood , California	George Gershwin	born	New York
320	Andre Kirk Agassi ,  born  , April 29 , 1970 ,   in  Las Vegas , Nevada has been one of the front line tennis players , even now .	Agassi	born	Las Vegas
321	__ __ Charles Spencer Chaplin  was born in  Walworth , London on April 16 , 1889 .	Chaplin	born	London
322	1970 : Born Andre Kirk Agassi on April29 in Las Vegas .	Agassi	Born	Las Vegas
323	Franz Kafka  born  July 3   in  Prague - Alstandt , the first child of the merchant Hermann __ ( 1852 - 1931 ) and his wife Julie , n e L wy ( 1856 - 1934 ) .	Franz Kafka	born	Prague
324	An eight - time Grand Slam tournament champion , tennis legend Andre Kirk Agassi ( 1970 - )  was born  on this day  in  Las Vegas , Nevada .	Agassi	born	Las Vegas
325	Charlie Chaplin ( b. April 16 , 1889 , London , Eng .	Charlie Chaplin	---	London
326	Charlie Chaplin  was born  April 16 , 1889  in  London , England , to music hall performers .	Charlie Chaplin	born	London
327	This category lists pages and sites about George Gershwin ( 1898 - 1937 ) ,  born in  New York to Russian - Jewish parents .	George Gershwin	born	New York
328	Birthday - Film comedian Charlie Chaplin ( 1889 - 1977 )  was born in  London .	Charlie Chaplin	born	London
329	Andre Agassi  is a famous tennis star and native son of  Las Vegas .	Andre Agassi	native	Las Vegas
330	The great Charlie Chaplin  arrived into this world  on this day in 1889 ,  in  London .	Charlie Chaplin	arrived	London
331	Franz Kafka  rarely left his home town of  Prague .	Franz Kafka	home	Prague
332	Franz Kafka  born in  Prague , which was then part of the Hapsburg empire .	Franz Kafka	born	Prague
333	Andre Agassi  was born  on April 29 , 1970  in   Las Vegas , Nevada .	Andre Agassi	born	Las Vegas
334	George Gershwin  was born  Jacob Gershovitz in Brooklyn , New York on September 26 , 1898 .	George Gershwin	born	New York
335	Where can you see a statue of Charlie Chaplin , the famous actor  born in  East London , who became famous in the United States ?	Charlie Chaplin	born	London
336	He's a major funder of the Andre Agassi College Preparatory Academy in a poor section of Las Vegas , his hometown .	Andre Agassi	---	Las Vegas
337	Franz Kafka  was born  July 3 rd 1883  in  Prague , at that time part of Austria - Hungary .	Franz Kafka	born	Prague
338	Franz Kafka ( born Prague July 3 , 1883 died near Vienna June 3 , 1924 ) was a famous Czech - born , German - speaking writer .	Franz Kafka	born	Prague
339	George Gershwin  was born  September 26 , 1898  in  Brooklyn New York .	George Gershwin	born	New York
340	TRACK 12 - George Gershwin , son of Russian immigrants , was born in Brooklyn , New York in 1898 .	George Gershwin	born	New York
341	For those hoping Agassi 's final tournament ends with a title , the Las Vegas native holds a 5 - 1 career mark over Roddick .	Agassi	native	Las Vegas
342	The personal library of author Franz Kafka is to be returned to  his native  Prague .	Franz Kafka	native	Prague
343	It's the birthday of composer George Gershwin ,  born  Jacob Gershvin  in  Brooklyn , New York ( 1898 ) .	George Gershwin	born	New York
344	Franz Kafka , author of The Metamorphosis  was born in  Prague , and Mission Impossible starring Tom Cruise was filmed in this beautiful city .	Franz Kafka	born	Prague
345	In fairness , David Robinson of the San Antonio Spurs has built an entire school over many years in San Antonio , and I hear that Andre Agassi  has done the same in his native  Las Vegas .	Andre Agassi	native	Las Vegas
346	Although he earned the bulk of his fame in the United States and is commonly considered a phenomenon of U.S. culture , Chaplin  was actually born in  London , England , and never became a U.S. citizen .	Chaplin	born	London
347	Franz Kafka ( 1883 - 1924 ) Austrian Czech writer ,  born in  Prague best known novels are The Trial ( 1925 ) , The Castle ( 1926 ) and America ( 1927 )	Franz Kafka	born	Prague
348	Excerpt of a message from Charlie Chaplin to  his native  London .	Charlie Chaplin	native	London
349	Franz Kafka , b. Prague , Bohemia ( then belonging to Austria ) , July 3 , 1883 , d. June 3 , 1924 , has come to be one of the most influential writers of this century .	Franz Kafka	---	Prague
350	He ran his Andre Agassi Foundation and held many charity events for his Las Vegas  hometown  .	Andre Agassi	---	Las Vegas
351	__ __ - Andre Kirk Agassi  was born  on 29 April 1970  in  Las Vegas , Nevada .	Agassi	born	Las Vegas
352	fr : Franz Kafka ( 3 juillet 1883 , Prague - 3 juin 1924 , Kierling ) est un crivain de langue allemande	Franz Kafka	---	Prague
353	Andre Kirk Agassi (  born  April 29 , 1970 ,  in  Las Vegas , Nevada ) is a former World ... When __ started playing tennis , his ball collection filled 60 .. .	Agassi	born	Las Vegas
354	Franz Kafka  is born in  Prague on July 3 to Hermann and Julie .	Franz Kafka	born	Prague
355	Andre Agassi  was born  April 29 , 1970  in  Las Vegas , Nevada .	Andre Agassi	born	Las Vegas
356	1889 Charlie Chaplin , English comedian ,  was born in  London .	Charlie Chaplin	born	London
357	The __ __ College Preparatory Academy located in Agassi  's home town of  Las Vegas , Nevada , is a charter school that brings order and hope to a district with the highest crime rate in the city .	Agassi	home	Las Vegas
358	Andre Agassi  tennis superstar of  Las Vegas joins America Online co - founder Steve Case in developing Exclusive Resorts a worldwide real estate project of multi - million dollar resort homes for luxury travel .	Andre Agassi	superstar	Las Vegas
359	Mattel co - founder Ruth Handler in 1959 created the Barbie doll after noticing her daughter preferred playing with paper cut - outs of adult female fashion dolls , . . .	Ruth Handler	created	the Barbie doll
360	Tim Berners - Lee  is the creator of  the World Wide Web and director of the coordinating body for Web development , the W3C .	Tim Berners - Lee	creator	the World Wide Web
361	Tim Berners - Lee  is the Director of  the World Wide Web Consortium , Senior Researcher at MIT\'s CSAIL , and Professor of Computer Science at Southampton ECS	Tim Berners - Lee	Director	the World Wide Web
362	Watch a webstream - Professor Tim Berners - Lee OBE FRS ,  inventor of  the World Wide Web talks about its future	Tim Berners - Lee	inventor	the World Wide Web
363	Ruth Handler  is said to be the creator of  the Barbie doll .	Ruth Handler	creator	the Barbie doll
364	Sir Tim Berners - Lee OBE  is the inventor of  the World Wide Web .	Tim Berners - Lee	inventor	the World Wide Web
365	Recent celebrity deaths : Alexander Lebed - Russian General who ran for the presidency against Boris Yeltsin ; Ruth Handler -  inventor of  the Barbie Doll April 2002 - April 26 2002 .	Ruth Handler	inventor	the Barbie Doll
366	Ruth Handler  is officially recognised as the creator of  the Barbie doll having come up with the idea for a three dimensional , adult - figured doll in the late fifties .	Ruth Handler	creator	the Barbie doll
367	Does Anyone Know anything about Ruth Handler ( She Created The Barbie Doll I have to write a 10 report on her?	Ruth Handler	Created	The Barbie Doll
368	Tim Berners - Lee  is the inventor of  the World Wide Web , an internet - based hypermedia initiative for global information sharing .	Tim Berners - Lee	inventor	the World Wide Web
369	Gnu Girl Gazette Blog Archive Tim Berners - Lee  the Inventor of  the World Wide Web	Tim Berners - Lee	Inventor	the World Wide Web
370	News Sir Tim Berners - Lee Sir Tim later  founded  the World Wide Web  consortium  and has been an active proponent of open standards on the internet .	Tim Berners - Lee	founded	the World Wide Web
371	. . . 4. Lack of regulatory Laws When Tim Berners - Lee developed the World Wide Web in	Tim Berners - Lee	developed	the World Wide Web
372	Tim Berners - Lee  is the primary inventor of  the World Wide Web , the system of text links and multimedia capabilities that made the Internet accessible to mass audiences .	Tim Berners - Lee	inventor	the World Wide Web
373	Founder Ruth Handler  in created  the Barbie doll after noticing her daughter preferred playing with paper cut .	Ruth Handler	created	the Barbie doll
374	2 ) Library Binding Book Tim Berners - Lee and the Development of the World Wide Web ( Unlocking the Secrets of Science ) ( Unlocking the Secrets of Science ) by Mitchell Lane Publishers .	Tim Berners - Lee	---	the World Wide Web
375	Ruth Handler began production of the company’s most famous product - the Barbie doll in 1959 .	Ruth Handler	---	the Barbie doll
376	Sir Timothy Berners - Lee  is the director of  the World Wide Web Consortium ( which oversees its continued development ) , and a senior researcher and holder of . . .	Berners - Lee	director	the World Wide Web
377	In the complex history of innovation flowing to and from the Internet , one major achievement is uncontested : in 1989 - 91 , Tim Berners - Lee invented the World Wide Web .	Tim Berners - Lee	invented	the World Wide Web
378	An area of the WWW that Berners - Lee  has direct involvement is in his role as the Director of  the World Wide Web Consortium ( WC3 ) which has existed since 1994 .	Berners - Lee	Director	the World Wide Web
379	Weaving the Web - Tim Berners - Lee : Inventing the world wide web	Tim Berners - Lee	Inventing	the world wide web
380	Opis : The history of Barbie dolls and inventor Ruth Handler who invented the Barbie Doll in 1959 .	Ruth Handler	invented	the Barbie Doll
381	The Great Idea Finder : Tim Berners - Lee - Photograph and biography of  the inventor of  the World Wide Web , with related links .	Tim Berners - Lee	inventor	the World Wide Web
382	Tim Berners - Lee to Deliver Keynote at eCC Bermuda 2001 ;  The Creator of  the World Wide Web to Discuss his Vision for the Future of the Internet .	Tim Berners - Lee	Creator	the World Wide Web
383	Lilli is the doll that would inspire Ruth Handler  to design  the Barbie doll .	Ruth Handler	design	the Barbie doll
384	Barbie Doll Creator Ruth Handler To Be Featured on PBS Series , Doll Collecting , Ruth Handler ,  the creator of  the Barbie doll , will be featured next week in a	Ruth Handler	creator	the Barbie doll
385	In 1994 , Berners - Lee founded the World Wide Web Consortium ( W3C ) at the Massachusetts Institute of Technology .	Berners - Lee	founded	the World Wide Web
386	Ruth Handler After fighting breast cancer and undergoing a mastectomy in 1970 Ruth Handler ,  one of the creators of  the Barbie Doll , surveyed the market for a suitable prosthetic breast .	Ruth Handler	creators	the Barbie Doll
387	Berners - Lee  still heads  the World Wide Web Consortium ( W3C ) at the Massachusetts Institute of Technology in Boston , but is one of the least recognised gurus in the world .	Berners - Lee	heads	the World Wide Web
388	The Great Idea Finder : Tim Berners - Lee Photograph and biography of  the inventor of  the World Wide Web , with related links .	Tim Berners - Lee	inventor	the World Wide Web
389	Tim Berners - Lee ( born June 8 , 1955 )  is the inventor of  the World Wide Web and . . . developerWorks Interviews : Tim Berners - Lee ( podcast/audio plus transcript ) . . .	Tim Berners - Lee	inventor	the World Wide Web
390	In 1996 the University of Southampton was the first university to award Tim Berners - Lee-->  an honorary degree in recognition of his role in developing  the World Wide Web .	Tim Berners - Lee	developing	the World Wide Web
391	TIM BERNERS - LEE STARTED A REVOLUTION , BUT IT DIDN ' T GO EXACTLY AS PLANNED . . . And Tim Berners - Lee , 41 ,  the creator of  the World Wide Web , no doubt does .	Tim Berners - Lee	creator	the World Wide Web
392	Designed by the British software engineer TIM BERNERS - LEE ( 1955 - ) the web is a By the end of 1990 Berners - Lee  circulated his work on  the World Wide Web	Berners - Lee	---	the World Wide Web
393	Tim Berners - Lee  laid the conceptual foundation for  the World Wide Web .	Tim Berners - Lee	laid	the World Wide Web
394	Fascinating facts about Ruth Handler  inventor of  the Barbie doll in 1959 .	Ruth Handler	inventor	the Barbie doll
395	Local , National and International events in 2002 . . Ruth Handler dies ,  inventor of  the Barbie doll .	Ruth Handler	inventor	the Barbie doll
396	Inventor Ruth Handler - Facts about  the inventor of  the Barbie Doll .	Ruth Handler	inventor	the Barbie Doll
397	Founder Ruth Handler created the Barbie doll in after noticing that her daughter preferred to play with paper cut .	Ruth Handler	created	the Barbie doll
398	Ruth Handler ( co - founder of Mattel Toys ) created the Barbie Doll in 1959 .	Ruth Handler	created	the Barbie Doll
399	Queen Elizabeth dubs Tim Berners - Lee a knight , in recognition of  his contributions to  the World Wide Web .	Tim Berners - Lee	contributions	the World Wide Web
400	Tim Berners - Lee  is credited with inventing  the World Wide Web .	Tim Berners - Lee	inventing	the World Wide Web
401	Title : Tim Berners - Lee ( M. I. T. ) ,  father of  the World Wide Web . . .	Tim Berners - Lee	father	the World Wide Web
402	Tim Berners - Lee over view : invented the World Wide Web during 1990 - 1991 , while working at CERN , the European Particle Physics Laboratory in Geneva .	Tim Berners - Lee	invented	the World Wide Web
403	When Wolfgang Amadeus Mozart  moved to  Vienna in the early 1780's , he knew very well where he was going .	Wolfgang Amadeus Mozart	moved	Vienna
404	Albert Einstein  wins the  Nobel Prize for rectal bottle - rocketry .	Albert Einstein	wins	Nobel Prize
405	Whereas President Truman  established the  Presidential Medal of Freedom in 1945	President Truman	established	Presidential Medal of Freedom
406	inspiration to Xanadu , but Nelson dislikes the World Wide Web , XML and all	Nelson	dislikes	the World Wide Web
407	Yahoo beats Microsoft to punch with IE update	Yahoo	beats	Microsoft
408	John McCain awarded Purple Heart for wounds suffered in Iraq debate	John McCain	awarded	Purple Heart
409	Albert Einstein  received his  Nobel Prize for the Quantum theory ( rather than the theory of relativity ) .	Albert Einstein	received	Nobel Prize
410	( Washington : Ucs News ) In a Rose Garden ceremony , President George W. Bush  awarded  Arizona Senator John McCain  the order of the  Purple Heart .	John McCain	awarded	Purple Heart
411	Wolfgang Amadeus Mozart  's arrival in  Vienna on March 16 , 1781 marked a period of great change in his life and music .	Wolfgang Amadeus Mozart	arrival	Vienna
412	Raymond V. Damadian  was denied a share of the  2003 Nobel Prize for Medicine , which was awarded to Paul Lauterbur and Sir Peter Mansfield for developing Magnetic resonance imaging .	Damadian	denied	Nobel Prize
413	Pemberton's bookkeeper Frank Robinson  named the mixture  Coca - Cola - , and wrote it out in his distinct script .	Frank Robinson	named	Coca - Cola
414	Kamen  showed off  the Segway on ABC's Good Morning America Monday morning in an exhibition that last week seemed like it would be the first public look at the mystery device .	Kamen	showed	the Segway
415	Albert Einstein  won the  Nobel Prize for Physics in 1921	Albert Einstein	won	Nobel Prize
416	Computer activist Ted Nelson  proposed a much more advanced form of  the World Wide Web , called Xanadu , in his seminal work Computer Lib .	Ted Nelson	---	the World Wide Web
417	In that ruling in December 2003 , Judge Richard G. Stearns dismissed Tevas lawsuit because  Pfizer  had not accused Teva of infringing its Zoloft patent  and __ had no reasonable basis to expect __ would do so .	Pfizer	accused	Teva
418	NEW DELHI : Pharma major Pfizer  has filed a lawsuit against  Ranbaxy and Teva , alleging infringement on its product Accupril ( generic Quinapril ) .	Pfizer	filed	Teva
419	. . . Back in America , fund raising for the pedestal was going particularly slowly , so Joseph Pulitzer   noted for the  Pulitzer Prize opened up the editorial pages . . .	Joseph Pulitzer	noted	Pulitzer Prize
420	After Pfizer  refused to bring suit against  Teva or to provide it with a covenant not to sue , __ filed an action seeking a declaration of non - infringement and invalidity .	Pfizer	suit	Teva
421	2 Yahoo! and Microsoft  plan to make the interoperability between their respective IM services broadly available to consumers in the coming months  .	Yahoo!	plan	Microsoft
422	From then on Mozart  resided in  Vienna .	Mozart	resided	Vienna
423	Albert Einstein explained the photoelectric effect and  received his only  Nobel Prize .	Albert Einstein	received	Nobel Prize
424	Yahoo  taking on  Google , Microsoft for AOL ?	Yahoo	taking	Microsoft
425	Mozart  lived in  Vienna for ten years .	Mozart	lived	Vienna
426	The opinion says someone informed imminent Gluck's death to Mozart and he  returned to  Vienna .	Mozart	returned	Vienna
427	John Pemberton -  Inventor of  Coca - Cola -	John Pemberton	Inventor	Coca - Cola
428	Pfizer  brought a patent - infringement suit against  Teva Pharmaceuticals ,	Pfizer	suit	Teva Pharmaceuticals
429	1921 Albert Einstein wins Nobel prize	Albert Einstein	wins	Nobel prize
430	 Yahoo  rebuffs Microsoft offer   FT.com 2 : 01 PM	Yahoo	rebuffs	Microsoft
431	Such contrapuntal movements can be found in those same quartets heard by young Mozart  on his fateful visit to  Vienna .	Mozart	visit	Vienna
432	 Yahoo!  Snipes at  Microsoft  TheStreet.com 4 : 06 PM	Yahoo!	Snipes	Microsoft
433	John Steinbeck  also earned alot of awards , one being the  Pulitzer Prize in 1940 .	John Steinbeck	earned	Pulitzer Prize
434	Mozart spent two months and  came back to  Vienna on June 4 .	Mozart	came	Vienna
435	Soon after , Mozart  was summoned to  Vienna by Archbishop Colloredo , but unhappy with his treatment there , __ requested a discharge .	Mozart	summoned	Vienna
436	Damadian  was passed over for a  Nobel prize ( 2003 ) for the discovery and development of MRI .	Damadian	passed	Nobel prize
437	Pfizer  settles patent suits against  Teva	Pfizer	settles	Teva
438	John Steinbeck  was awarded the nation's highest literary honor , the  Pulitzer Prize for literature .	John Steinbeck	awarded	Pulitzer Prize
439	Pfizer sues Teva , Sandoz	Pfizer	sues	Teva
440	In 1886 , Frank Robinson  used his own pen and ink to script the first Coca - Cola - trademark  .	Frank Robinson	script	Coca - Cola
441	Robinson  came up with the  Coca - Cola - .	Robinson	came	Coca - Cola
442	In 1781 , Mozart visited Vienna in the company of his employer , the harsh Prince - Archbishop Colloredo , and had a falling out with him .	Mozart	visited	Vienna
443	Pemberton sold Coca - Cola - out of the pharmacy he worked at .	Pemberton	sold	Coca - Cola
444	Pemberton's bookkeeper Frank Robinson  came up with the name  Coca - Cola - for the new drink and created the name using Spencerian script .	Frank Robinson	came	Coca - Cola
445	Dean Kamen ( left ) ,  inventor of  the Segway Human Transporter Human Transporter wearing the Plantronics Voyager 510 Bluetooth Headset	Dean Kamen	inventor	the Segway Human Transporter
446	Pfizer  Announces Settlement With  Teva on Patents Covering Cancer Medicine and Antibiotic	Pfizer	Settlement	Teva
447	Mozart  dies  on December 5 , 1791 ,  in  Vienna following a protracted illness ( probably a chronic kidney disease that brought on uremia , but __ suspected he had been poisioned ) .	Mozart	dies	Vienna
448	Mozart  was buried in a  Vienna suburb , with little ceremony and in an unmarked grave , in accordance with prevailing custom .	Mozart	buried	Vienna
449	Pemberton and Robinson  marketed Coca - Cola - as both a patent medicine and a refreshing beverage  .	Robinson	marketed	Coca - Cola
450	According to the company's website , Kamen  was first inspired to create  the Segway after seeing a man in a	Kamen	create	the Segway
451	Michelin has also partnered with Dean Kamen (  inventor of  the Segway ) and is working with him on wheels for the Segway and the iBOT .	Dean Kamen	inventor	the Segway
452	Dean Kamen  is the inventor of  the Segway Human Transporter Human Transporter as well as countless other inventions including the iBot , a wheelchair that can actually climb stairs and the first handheld insulin pump .	Dean Kamen	inventor	the Segway Human Transporter
453	John Steinbeck  is probably most famous for his Pulitzer Prize winning epic   , The Grapes of Wrath , but he is also well known for Of Mice and Men , East of Eden and The Red Pony .	John Steinbeck	famous	Pulitzer Prize
